sid,testname,testcode,price
68,AFB Stain - Ascitic Fluid,LDAI10219,400
69,AFB Stain - Bone Marrow,LDAI10226,400
70,AFB Stain - Bronchial Lavage,LDAI10225,400
71,AFB Stain - Bronchial Secretions,LDAI10216,400
72,AFB Stain - CLDA,LDAI10218,400
73,AFB Stain - Endometrium,LDAI10232,400
74,AFB Stain - ET secretion,LDAI10230,400
75,AFB Stain - Gastric aLDAirate,LDAI10231,400
76,AFB Stain - Miscellaneous,LDAI10227,400
77,AFB Stain - Nasal LDAear,LDAI10224,400
78,AFB Stain - Pericardial Fluid,LDAI10221,400
79,AFB Stain - Pleural Fluid,LDAI10220,400
80,AFB Stain - Pus,LDAI10215,400
81,AFB Stain - LDAutum,LDAI10214,400
82,AFB Stain - Swab,LDAI10223,400
83,AFB Stain - Synovial Fluid,LDAI10222,400
84,AFB Stain - Throat Swab,LDAI10229,400
85,AFB Stain - Tissue,LDAI10228,400
86,AFB Stain - Urine,LDAI10217,400
87,AFB Susceptibility - 10 Drug (5 drugs of 1st line and 5 drugs of 2nd line),LDAI10177,9700
88,AFB Susceptibility - 5 Drugs (1st Line Only),LDAI10176,5450
89,AFB Susceptibility - Amikacin,LDAI10209,2500
90,AFB Susceptibility - Capreomycin,LDAI10207,2500
91,AFB Susceptibility - Ciprofloxacin,LDAI10212,2500
92,AFB Susceptibility - Clofazimine,LDAI10205,2500
93,AFB Susceptibility - Cyclomerize,LDAI10210,2500
94,AFB Susceptibility - Ethambutol,LDAI10203,2500
95,AFB Susceptibility - Ethionamide,LDAI10206,2500
96,AFB Susceptibility - Isoniazid,LDAI10201,2500
97,AFB Susceptibility - Kanamycin,LDAI10208,2500
98,AFB Susceptibility - Ofloxacin,LDAI10211,2500
99,AFB Susceptibility - PAS,LDAI10213,2500
100,AFB Susceptibility - Pyrazinamide,LDAI10204,3850
101,AFB Susceptibility - Rifampicin,LDAI10202,2500
102,AFB Susceptibility - Streptomycin,LDAI10200,2500
103,AFB-MOTT antibiogram panel for slow growers (up to 10 drugs),LDAI10234,12000
104,AFP (IHC Marker),LDA10037,1650
105,AFP (Tumour Marker),LDA10403,660
106,Albumin,LDA10040,100
107,"Albumin, Fluid",LDA10119,100
108,Albumin: Globulin Ratio - A:G Ratio,LDA10007,160
109,Alcohol Screen,LDA10110,970
110,"Alcohol Screen, Random Urine",LDA10076,1530
111,ALCP Flow & Mol. ALL Panel,LDA10214,15100
112,ALCP Flow & Mol. AML Panel,LDA10221,16500
113,Aldolase,LDA10079,970
114,"Aldosterone,  Serum",LDA10076,2400
115,"Aldosterone, 24 Hrs. Urine",LDA10023,2090
116,ALK -1  (IHC Marker),LDA10049,1650
117,ALK by FISH,LDAI10010,10900
118,ALK D5F3,LDA10107,8800
119,"Alk/NPM1;t(2;5) Anaplastic Large Cell Lymphoma, Bone marrow by
FISH",LDAI10054,5600
120,"Alk/NPM1;t(2;5) Anaplastic Large Cell Lymphoma, Tissue / FFPE by
FISH",LDAI10055,11500
121,Alkaline PhoLDAhatase - ALP,LDA10045,120
122,"Alkaptonuria, Random Urine",LDA10069,1000
123,ALL Characterization & Karyotype Combo,LDA10008,12600
124,ALL Characterization Panel (Flowcytometry),LDA10068,9100
125,ALL MULTIPLEX + KARYOTYPING,LDA10086,9350
126,ALL Panel by FISH (3 translocations),LDA10102,9900
127,Allergy Food (Vegetarian),LDA10478,2500
128,"Allergy panel-7 Drugs  (Ampicillin, Amoxicillin, CephaloLDAorin mix., Penicilloyl V, Penicilloyl G,)",LDA10475,5750
129,"Allergy panel-food, inhalants,
contacts",LDA10505,11000
130,Allergy screening Tryptase,LDA10477,2800
131,"Alpha Feto Protein - AFP, Amniotic
Fluid",LDA10117,920
132,"Alpha Feto Protein - AFP, Maternal",LDA10108,730
133,"Alpha Feto Protein (AFP), Fluid",LDA10487,1300
134,Alpha N-AcetylGalactosaminidase (Schindler disease),LDA10496,7000
135,Alpha Thalassemia Mutation,LDA10120,4300
136,Alpha Thalassemia/ Alpha gene triplication copy number variations,LDA10351,11520
137,"Alpha-1 Anti Trypsin - AAT,
Quantitative",LDA10105,2900
138,"Alpha-1-Antitrypsin Clearance, Faeces and Serum",LDA10209,35000
139,Alpha-2 Macroglobulin,LDA10100,6350
140,Alport syndrome gene panel,LDA10311,48000
141,"ALT (Alanine Amino-tranLDAerase),
SGPT",LDA10044,150
142,"Aluminium, Dialysis Fluid",LDA10152,2660
143,"Aluminium, PlaLDAa",LDA10148,2660
144,"Aluminium, Serum",LDA10144,2660
145,AMACR (IHC Marker),LDA10096,1650
146,Amenorrhoea AssesLDAent Profile,LDA10014,1600
147,"AMH -  Anti Mullerian Hormone, MULLERIAN INHIBITING SUBSTANCE
(MIS), Serum",LDA10118,1800
148,Amino Acid (1Dimensional) - Urine,LDA10055,1580
149,Amino Acid (2 Dimensional) - Urine,LDA10056,1820
150,Amino Acid (Qualitative),LDA10101,1580
151,"Amino Acid (Qualitative), CLDA",LDA10112,1450
152,AML Characterization & Karyotyping Combo,LDA10006,12000
153,AML Characterization and Comprehensive Molecular panel,LDA10230,21500
154,AML Characterization Panel (Flowcytometry),LDA10067,9300
155,AML Comboquest I,LDA10009,4850
156,AML Comboquest II,LDA10010,5200
157,AML Comboquest III,LDA10011,7850
158,AML Comboquest IV,LDA10024,5750
159,AML Comboquest IX,LDA10216,13200
160,AML Comboquest V,LDA10023,8450
161,AML Comboquest VI,LDA10031,9200
162,AML Comboquest VII,LDA10032,11950
163,AML Comboquest VIII,LDA10215,6750
164,AML Comboquest X,LDA10465,13000
165,AML Flow & Mol. Panel,LDA10220,15000
166,AML Panel by FISH,LDA10128,10000
167,AML1/ETO - FISH,LDAI10004,4500
168,AML1/ETO Qualitative RT PCR,LDA10009,4250
169,"Ammonia, Whole Blood",LDA10064,920
170,"Amoebic Serology, (Amoebiasis
antibodies - IgG), Serum",LDA10174,1100
171,"Amphetamines Screen, Urine",LDA10006,740
172,Amylase,LDA10068,500
173,"Amylase, Body Fluids",LDA10144,500
174,"Amylase, Random  Urine",LDA10058,500
175,ANA IFA reflex ANA blot 15,LDA10464,2950
176,"ANA IFA, in dilutions",LDA10457,3000
177,"ANA, ELISA",LDA10301,650
178,"ANA, IFA",LDA10187,1320
179,Anaemia AssesLDAent Profile,LDA10177,2750
180,Androgen receptor (AR) gene analysis,LDA10300,43000
181,Androstenedione,LDA10067,2420
182,"Aneusomy Panel 2 in P. Bld (13, 18,
21)",LDAI10032,4050
183,"Aneusomy studies (13, 18, 21, X, Y)
in P. Bld by FISH",LDAI10031,7700
184,"Angiotensin Converting Enzyme -
ACE",LDA10096,1090
185,Angiotensin II,LDA10461,7600
186,Annexin 1 (IHC Marker),LDA10085,1650
187,Antenatal Screening profile (Basic),LDA10028,550
188,Antenatal Screening Profile (Comprehensive),LDA10027,1320
189,Anti - A Titres,LDA10202,1500
190,Anti - B Titres,LDA10203,1500
191,Anti - D Titres (Coomb’s Test Direct),LDA10204,600
192,Anti - ds DNA antibody (Reflex to end titre for all positive cases),LDA10207,1900
193,Anti Centromere Antibody,LDA10205,2420
194,Anti Cyclic Citrullinated Peptide - Anti CCP,LDA10196,1450
195,Anti diuretic Hormone - ADH,LDA10077,6000
196,Anti -Dnase B (Deoxyribonuclease B),LDA10206,1540
197,"Anti -ds DNA Antibody, ELISA",LDA10208,1090
198,Anti fungal Susceptibility Testing (automated),LDAI10246,2200
199,Anti Glomerular Basement Membrane Antibody - Anti GBM,LDA10215,2420
200,Anti HBcore Total (Hepatitis B Core Antigen Total),LDA10088,1090
201,Anti HBe / HBeAb (Hepatitis B Envelope Antibody),LDA10090,940
202,Anti HBs (Antibody to Hepatitis B Surface Antigen),LDA10086,630
203,"Anti HCV (By card) : Anti Hepatitis C
Virus (By card)",LDA10106,900
204,Anti HCV Total- Quantitative,LDA10091,1450
205,Anti HDV (Delta Virus) :Hepatitis Delta virus antibody,LDA10094,3100
206,Anti Hepatitis A Virus IgG - Anti HAV IgG,LDA10107,1540
207,Anti Hepatitis A Virus IgM - Anti HAV IgM,LDA10097,970
208,"Anti HEV IgG (Anti Hepatitis E Virus
IgG)",LDA10096,1980
209,"Anti HEV IgM (Anti Hepatitis E Virus
IgM)",LDA10095,1450
210,Anti HLA DSA  (DONAR LDAECIFIC AB),LDA10390,15500
211,Anti Insulin Antibodies,LDA10216,2660
212,"Anti LKM -1 Antibody (Liver Kidney
Microsomal antibody)",LDA10217,1750
213,"Anti Mitochondrial Antibody - AMA, IFA",LDA10218,2180
214,Anti Neutrophilic CytoplaLDAic Antibodies - ANCA,LDA10191,2750
215,Anti Nuclear Antibody - ANA IFA reflex ANA blot 15,LDA10464,2950
216,"Anti Nuclear Antibody - ANA IFA, in
dilutions",LDA10457,3000
217,"Anti Nuclear Antibody - ANA, ELISA",LDA10301,650
218,"Anti Nuclear Antibody - ANA, IFA",LDA10187,1320
219,"Anti Parietal Cell Antibody, IFA",LDA10219,2530
220,"ANTI RNP - LDA antibody
(Anti Ribo - Nucleoprotein LDAith antibody)",LDA10224,2180
221,"Anti Scl-70 IgG (Antibody
Scleroderma Antibody)",LDA10198,1540
222,Anti Skeletal Muscle Antibody,LDA10229,3850
223,"Anti LDAith Antibody, IgG",LDA10238,1360
224,Anti Soluble Liver Antigen (SLA),LDA10305,1940
225,Anti LDAerm Antibody,LDA10228,1350
226,Anti -ss DNA Antibody,LDA10209,3390
227,"Anti SS-A  / Ro (Antibody Serum
Soluble Substance -A Antibody)",LDA10194,1980
228,"Anti SSB  / La (Antibody Serum
Soluble Substance -B Antibody)",LDA10195,2180
229,Anti Tg (Thyroglobulin Antibody),LDA10189,1270
230,"Anti Thrombin Activity, Functional",LDA10074,3940
231,Anti TPO (Thyroid Peroxidase) Antibody),LDA10190,1270
232,Anti-adrenal Antibody Screen,LDA10455,11100
233,"Anti-Endomysial Antibody, IgA",LDA10211,2500
234,Anti-GBM by LIA,LDA10467,1820
235,Antigen for PlaLDAdium falciparum,LDA10032,880
236,Antigen For PlaLDAdium Vivax,LDA10031,880
237,Any 2 IHC Markers (IHC Marker),LDA101114,1950
238,Any 3 IHC Markers (IHC Marker),LDA101115,2950
239,Any 4 IHC Markers (IHC Marker),LDA101116,4000
240,Any 5 IHC Markers (IHC Marker),LDA101117,5000
241,Any tumour resection with lymph node - Histopathology radical,LDA10114,2400
242,Aplastic anemia gene panel,LDA10479,30000
243,"APO A -1 : APO B Ratio
(Apolipoprotein A1 :Apolipoprotein B  Ratio)",LDA10031,920
244,"APO B: APO A-1 Ratio
(Apolipoprotein B :Apolipoprotein A1 Ratio)",LDA10036,920
245,Apolipoprotein A1,LDA10029,730
246,Apolipoprotein B,LDA10030,730
247,"Apolipoproteins A1 & B (Apolipoprotein A1 &
Apolipoprotein B)",LDA10008,920
248,Appendix - Histopathology LDAall,LDA10024,750
249,Aquaporin 4 Antibodies (NMO),LDA10104,5000
250,Aqueous Fluid Examination,LDA10160,400
251,"Aqueous/vitreous/lacLDAal fluid  - Culture & Sensitivity Aerobic
(Conventional)",LDAI10016,650
252,Arterial Blood Gas - ABG,LDA10139,730
253,Arthritis Profile (Basic),LDA10178,1980
254,Arthritis Profile (Comprehensive ),LDA10179,4400
255,"ASCA (S.Cerevisiae) IgA (Anti Saccharomyces Cerevisiae Antibody
IgA)",LDA10225,2000
256,"ASCA (S.Cerevisiae) IgG (Anti
Saccharomyces Cerevisiae Antibody IgG)",LDA10226,2000
257,Ascitic Fluid  - AFB Culture Rapid,LDAI10180,1000
258,Ascitic Fluid  - Culture & Sensitivity Anaerobic (Conventional),LDAI10073,1050
259,Ascitic Fluid - AFB Culture Rapid,LDAI10180,1000
260,Ascitic Fluid - Culture & Sensitivity Aerobic (Automated),LDAI10047,1050
261,Ascitic Fluid - Culture & Sensitivity Aerobic (Conventional),LDAI10002,650
262,Ascitic Fluid - Fungus Culture,LDAI10140,1000
263,Ascitic Fluid Exam. for Malignant Cells,LDA10001,550
264,Ascitic Fluid Examination,LDA10124,500
265,Ascitic Fluid For Amylase,LDA10126,550
266,ASLO (Antistrepto Lysin -O),LDA10074,490
267,"ALDAergillus Fumigatus  DNA
Detector",LDA10252,12300
268,ALDAergillus IgE (A. Fumigatus),LDA10003,2200
269,ALDAergillus IgG,LDA10002,2400
270,"ALDAergillus IgG & IgM Antibody
Panel",LDA10032,4500
271,ALDAergillus IgM,LDA10001,2400
272,ALDAirate - Fungus Culture,LDAI10146,1000
273,ALDAirates - AFB Culture Rapid,LDAI10184,1000
274,ALDAirates - Culture & Sensitivity Aerobic (Conventional),LDAI10017,650
275,ALDAirates - Culture & Sensitivity Anaerobic (Conventional),LDAI10081,1050
276,"AST (ALDAartate Amino-tranLDAerase),
SGOT",LDA10043,150
277,ATRX IHC,LDA10138,2500
278,"Auto Immune Profile (Gastrointestinal) Includes *AMA
*Anti LKM - 1 *ANA (Hep -2)*Anti LDAoth Muscle Antibody (LDAA)
*ANCA",LDA10055,9680
279,Autoimmune Encephalitis Panel,LDA10109,26500
280,Axillary swab - Culture & Sensitivity Aerobic (Conventional),LDAI10035,650
281,BAL - AFB Culture Rapid,LDAI10186,1000
282,BAL - Culture & Sensitivity Aerobic (Conventional),LDAI10015,650
283,"Barbiturates Screen, Urine",LDA10001,740
284,Bartter Syndrome gene panel,LDA10312,48000
285,Basic CLL Screening Panel,LDA10103,7700
286,Basic Gene Health Check Profile,LDA10118,13500
287,B-Cell Clonality Analysis for IgH,LDA10003,4850
288,B-Cell Phenotype Panel (IHC Marker),LDA10051,6050
289,BCL  -2 (IHC Marker),LDA10062,1650
290,BCL 6 Gene Rearrangement,LDAI10064,5000
291,BCR/ABL by FISH,LDAI10001,4100
292,BCR/ABL Qualitative & Breakpoint Analysis RTPCR,LDA10007,5500
293,"BCR/ABL Quantitative RT PCR with
Breakpoint Analysis  (MRD)",LDA10014,8250
294,"BCR-ABL Tyrosine Kinase inhibitor
resist",LDA10348,10200
295,"Bence Jones Protein, Urine",LDA10083,240
296,"Benzodiazepines Screen, Urine",LDA10002,740
297,BER Ep4 (IHC Marker),LDA10047,1650
298,"Beta 2 glycoprotein 1 panel (IgG,
IgM, IgA)",LDA10029,3630
299,Beta 2 -Glycoprotein IgA,LDA10261,1820
300,Beta 2 -Glycoprotein IgG,LDA10231,1650
301,Beta 2 -Glycoprotein IgM,LDA10232,1650
302,Beta -hCG (Cancer Marker),LDA10165,610
303,"Beta -HCG, Fluid",LDA10488,1100
304,"Beta -hCG, Random Urine",LDA10075,610
305,Beta Thalassemia mutation,LDA10188,5500
306,Beta Thalassemia Mutation (13 mutations),LDA10188,5500
307,"Beta-2 Microglobulin, R. Urine",LDA10054,1820
308,"Beta-2 Microglobulin, Serum",LDA10102,1820
309,"Bile Pigment (BP), Urine",LDA10081,110
310,"Bile Salts & Pigments, Urine",LDA10079,110
311,"Bile Salts (BS), Urine",LDA10080,110
312,"Bilirubin Total, Direct & Indirect",LDA10050,190
313,"Bilirubin, Random Urine",LDA10092,170
314,"Bilirubin, Total",LDA10047,170
315,BIOFIRE CLDA PANEL,LDA10483,17000
316,Biopsy - Block Issue,LDA10074,200
317,Biopsy - Slide Issue,LDA10075,200
318,Biopsy - Slides & Blocks Issue,LDA10069,200
319,Biopsy - Slides Issue for II Opinion,LDA10068,200
320,"Biotinidase deficiency -
Quantitative – Blood",LDA10216,6500
321,BK virus Quantitative,LDA10369,6500
322,"Bladder Cancer, FISH",LDAI10049,39000
323,Bleeding Time & Clotting Time,LDA10009,240
324,Bleeding Time (B.T),LDA10020,190
325,Block Issue,LDA10074,200
326,Blood - AFB Culture Rapid,LDAI10193,1000
327,"Blood ABO and Rh Factor, automated",LDA10034,200
328,"Blood Glucose (Fasting & PP)-Blood Glucose Fasting & Blood Glucose
Post Prandial,2hrs",LDA10020,130
329,Blood Glucose (Fasting),LDA10018,70
330,"Blood Glucose (PP, After 2Hrs.)- Blood Glucose Post Prandial",LDA10019,70
331,Blood Glucose (Random),LDA10021,70
332,Blood Group (ABO & Rh Factor),LDA10024,140
333,Blood Karyotyping Single,LDA10009,3200
334,Blood Urea Nitrogen (BUN),LDA10063,130
335,BOB 1  (IHC Marker),LDA10086,1650
336,Body Fluids - Culture & Sensitivity Aerobic (Conventional),LDAI10033,650
337,Body fluids - Culture & Sensitivity Anaerobic (Conventional),LDAI10082,1050
338,Body fluids Culture  - Culture & Sensitivity Aerobic (Automated),LDAI10054,1050
339,BOH (Bad Obstetric History) Basic,LDA10301,7000
340,BOH (Bad Obstetric History)Panel,LDA10193,18370
341,Bone Large - Histopathology large,LDA10013,1800
342,Bone Marrow - AFB Culture Rapid,LDAI10194,1000
343,Bone Marrow - Culture & Sensitivity Aerobic (Automated),LDAI10024,950
344,Bone Marrow - Culture & Sensitivity Anaerobic (Automated),LDAI10084,1050
345,Bone Marrow - Fungus Culture,LDAI10137,1000
346,Bone Marrow Biopsies - Histopathology LDAall,LDA10023,750
347,Bone Marrow Exam. (Routine),LDA10112,830
348,Bone marrow failure syndrome gene panel,LDA10453,30000
349,"Bone Marrow, Iron Stain",LDA10113,370
350,"Bone Marrow, MPO Stain",LDA10117,370
351,"Bone Marrow, NSE Stain",LDA10118,370
352,"Bone Marrow, PAS Stain",LDA10120,370
353,"Bone Marrow, Reticulin Stain",LDA10114,730
354,Bone LDAall - Histopathology,LDA10056,750
355,"Bordetella Pertussis IgG Antibodies
Quantitative",LDA10382,3000
356,BRAF Testing by ARMS PCR,LDA10211,6500
357,BRAF V600E for Hairy Cell Leukaemia,LDA10379,6500
358,BRAF V600E Mutation,LDA10025,7400
359,Brain & LDAinal Cord Tumors - Histopathology medium,LDA10088,1200
360,"BRCA-1 & 2 -complete sequencing
test",LDA10058,20000
361,"BRCA1, BRCA2 Somatic Mutation Analysis",LDA10383,30000
362,Breast Cancer Comprehensive Diagnosis Panel,LDA10098,7000
363,Breast Cancer Prognosis Panel (1A) (IHC Marker),LDA10042,4250
364,Breast Cancer Prognosis Panel (1B) (IHC Marker),LDA10043,3000
365,Breast Cancer Prognosis Panel (2A) (IHC Marker),LDA10044,15150
366,Breast Cancer Prognosis Panel (2B) (IHC Marker),LDA10045,5200
367,Breast Cancer Prognosis Panel (3A) (IHC Marker),LDA10046,4000
368,Breast Cancer Prognosis Panel (4A) (IHC Marker),LDA10047,25400
369,"Breast Cancer Prognosis Panel (Basic) / ER, PR  (IHC Marker)",LDA10041,2200
370,Breast Lump - Histopathology medium,LDA10076,1200
371,Breast Lump Excision for Tumor (less than Mastectomy) - Histopathology large,LDA10127,1800
372,Bronchial Alveolar Lavage Examination,LDA10140,240
373,Bronchial Lavage - Fungus Culture,LDAI10144,1000
374,Bronchial Lavage for Malignant Cells,LDA10009,550
375,Bronchial Washing for Malignant Cells,LDA10008,550
376,Bronchial Washing -Fungus Culture,LDAI10143,1000
377,"Bronchial Washing Fungus Exam.,
KOH Preparation",LDAI10170,350
378,Bronchial Washings - AFB Culture Rapid,LDAI10187,1000
379,Brucella Agglutination Test,LDA10026,1210
380,Brucella IgG Antibodies,LDA10045,1820
381,Brucella IgM Antibodies,LDA10046,1820
382,"BSAP, Bone LDAecific Alkaline
PhoLDAhatase",LDA10051,6660
383,B-Type Natriuretic Peptide (BNP),LDA10298,2420
384,"Buccal /Oral  Swab Culture &
Sensitivity",LDAI10056,650
385,"Buccal /Oral Swab For Fungus
Culture",LDAI10057,1000
386,Burkitt Lymphoma,LDA10011,7150
387,C - ANCA (Anti Neutrophilic CytoplaLDAic Antibody),LDA10193,1820
388,C -Peptide (Fasting),LDA10070,1210
389,C.Difficile Toxin A & B,LDA10177,3140
390,"C1 Esterase Inhibitor , Quantitative",LDA10103,3630
391,C3 Complement Component,LDA10077,850
392,C4 Complement Component,LDA10078,850
393,CA -125 (IHC Marker),LDA10038,1650
394,CA 27.29 (Breast Cancer Marker),LDA10161,10500
395,CA 72.4 (Gastric Cancer),LDA10162,2100
396,CA125 (Ovarian Cancer),LDA10158,1210
397,CA15.3 (Breast Cancer),LDA10159,1210
398,CA19.9 (Pancreatic Cancer),LDA10160,1210
399,Calcitonin (IHC Marker),LDA10042,1650
400,"Calcitonin, Cancer Marker",LDA10157,2730
401,Calcium,LDA10059,170
402,Calcium Ionized,LDA10066,490
403,"Calcium, 24Hrs.Urine",LDA10034,250
404,"Calcium, Random Urine",LDA10049,250
405,Calreticulin Mutation Analysis,LDA10179,6350
406,Calretinin (IHC Marker),LDA10046,1650
407,CanAssist-Breast,LDA10423,60000
408,cANCA by ELISA,LDA10351,1760
409,cANCA by IFA,LDA10354,1900
410,Cancer Screening Panel (Female),LDA10173,4070
411,Cancer Screening Panel (Male),LDA10172,3190
412,Candida Albicans Antibodies,LDA10484,5180
413,"Cannabinoids Screen, Random Urine",LDA10003,740
414,"Carbamazepine Drug Assay, Serum (Tegretol, Mazetol, Carbatol)",LDA10004,930
415,Cardiac Enzymes Profile,LDA10070,1090
416,Cardiac Injury Panel,LDA10194,5120
417,Cardiac Panel,LDA10196,2970
418,"Cardiolipin Antibodies IgG, IgM",LDA10252,1650
419,Cardiolipin Antibodies Profile,LDA10004,2530
420,Cardiolipin Antibody IgA,LDA10201,1100
421,Cardiolipin Antibody IgG,LDA10199,850
422,Cardiolipin Antibody IgM,LDA10200,850
423,Cardiomyopathy gene panel,LDA10299,43000
424,Caris Molecular Intelligence,LDA10386,600000
425,"Catecholamine's, 24 Hrs. Urine",LDA10024,5780
426,"Catecholamine's, R. Urine",LDA10050,5940
427,Cathepsin D  (IHC Marker),LDA10006,1650
428,CBC (Complete Blood Count),LDA10007,300
429,"CD 34quest (stem cells)(Ishage
Gating)  (Flowcytometry)",LDA10078,2400
430,CD 43 (IHC Marker),LDA10078,1650
431,CD 57  (IHC Marker),LDA10098,1650
432,CD10 (CALLA) (IHC Marker),LDA10013,1650
433,"CD10 (CALLA),
B-Cell Markers, Flowcytometry",LDA10010,1850
434,CD103  (Flowcytometry),LDA10047,1850
435,CD117  Flowcytometry,LDA10036,1850
436,CD117 (c -Kit) (IHC Marker),LDA10025,1650
437,CD11c  Flowcytometry,LDA10030,1850
438,CD13  (Flowcytometry),LDA10044,1850
439,"CD13, Myeloid / Monocytic
Markers,  Flowcytometry",LDA10025,1850
440,CD138   (Flowcytometry),LDA10050,1850
441,CD138   (IHC Marker),LDA10026,1650
442,"CD14, Myeloid / Monocytic Markers,  Flowcytometry",LDA10026,1850
443,CD15  (IHC Marker),LDA10014,1650
444,"CD15, Myeloid / Monocytic Markers,  Flowcytometry",LDA10028,1850
445,CD16  (Flowcytometry),LDA10046,1850
446,CD19  (Flowcytometry),LDA10043,1850
447,"CD19, B-Cell Markers,
Flowcytometry",LDA10011,1850
448,"CD19+ZAP-70, B-Cell Markers,
Flowcytometry",LDA10020,2750
449,CD1a (IHC Marker),LDA10080,1650
450,"CD1a, T-Cell Markers,(Flowcytometry)",LDA10001,1850
451,"CD2, T-Cell Markers,
(Flowcytometry)",LDA10002,1850
452,CD20 (IHC Marker),LDA10015,1650
453,"CD20, B-Cell Markers,
(Flowcytometry)",LDA10012,1850
454,"CD22,B-Cell Markers,
(Flowcytometry)",LDA10013,1850
455,CD23 (IHC Marker),LDA10016,1650
456,"CD23,B-Cell Markers,
(Flowcytometry)",LDA10015,1850
457,CD3 (IHC Marker),LDA10009,1650
458,"CD3, T-Cell Markers,
(Flowcytometry)",LDA10003,1850
459,CD30 (IHC Marker),LDA10017,1650
460,"CD33, Myeloid / Monocytic
Markers,  Flowcytometry",LDA10029,1850
461,CD34  (Flowcytometry),LDA10032,1850
462,CD34 (IHC Marker),LDA10018,1650
463,CD38  (Flowcytometry),LDA10045,1850
464,CD4 (IHC Marker),LDA10010,1650
465,"CD4,  T-Cell Markers,
(Flowcytometry)",LDA10004,1850
466,"CD4/ CD8 Enumeration
(Flowcytometry)",LDA10076,1950
467,CD45  (Flowcytometry),LDA10033,1850
468,CD45 OR LCA  (IHC Marker),LDA10019,1650
469,CD45 Ro (IHC Marker),LDA10020,1650
470,CD5 (IHC Marker),LDA10011,1650
471,"CD5,T-Cell Markers,
(Flowcytometry)",LDA10005,1850
472,CD56  (IHC Marker),LDA10021,1650
473,CD61  (Flowcytometry),LDA10034,1850
474,CD64  (Flowcytometry),LDA10035,1850
475,CD68  (IHC Marker),LDA10022,1650
476,CD7 (IHC Marker),LDA10067,1650
477,"CD7, T-Cell Markers,
(Flowcytometry)",LDA10006,1850
478,CD79a (IHC Marker),LDA10023,1650
479,CD8 (IHC Marker),LDA10012,1650
480,"CD8,  T-Cell Markers,
(Flowcytometry)",LDA10007,1850
481,CD99 (MIC -2) (IHC Marker),LDA10024,1650
482,CEA (Carcino Embryonic Antigen),LDA10164,720
